Team,Elo Rating
Akron Roller Derby / A,703
Springfield Roller Derby,697
NO COAST ROLLER DERBY / MAD MAXINES,709
Houston United Roller Derby,687
The Anguanas- Vicenza Roller Derby,658
Burning River Roller Derby / Hazmat Crew,705
Burning River Roller Derby / Burning River All-Stars,689
Ottawa Valley Roller Derby,676
Toronto Roller Derby / CN POWER,698
Bradentucky / Bombers,700
Ann Arbor Roller Derby / Ann Arbor A,702
Pikes Peak Roller Derby / Pikes Peak All Stars,679
High Altitude RD / Dark Sky Starlets,683
Connecticut Roller Derby A,692
Harrisburg Area Roller Derby  / Fallouts,698
Adelaide Roller Derby / Rads,683
Ohio Roller Derby / Ohio All-Stars,697
Salt City Roller Derby / Salt City,696
Tallahassee Roller Derby,672
Tri-City Roller Derby,691
Charlotte Roller Derby / Team Charlotte (A Team NA South),684
Vette City Roller Derby / Vette City Vixens,688
Wilkes Barre/Scranton RD / Roller Radicals,707
River City Roller Derby / River City Riot!,662
Windy City Roller / All-Stars,694
Helsinki Roller Derby / Helsinki Bees,700
Panhandle United / Panhandle United Allstars,690
Windy City Roller / Second Wind,701
The Herd / Madison Roller Derby,700
Minnesota Roller Derby / B Team,711
Burning River Roller Derby / Haz Mat Crew,693
Zurich City Roller Derby / AllstarZ,688
Alamo City Roller Girls / Las Tejanas,705
KALLIO ROLLING RAINBOW,704
Texas Rollergirls,698
Rebellion Roller Derby,696
Philly Roller Derby  / Philly Roller Derby B Team,673
Rockcity Rollers,690
Gem City Roller Derby / Gem City Roller Derby Purple Reign,692
Connecticut Roller Derby / Connecticut  All-Stars,714
Fox Cities Roller Derby / FCRD-All Stars,691
Inland Empire Derby Divas,698
Vette City Roller Derby / Vixens,700
Detroit Roller Derby  / Detroit Allstars A,708
Detroit Roller Derby  / Detroit Allstars B,688
Gothenburg Roller Derby		,649
Paris Roller Derby  / All Stars,702
RoughNeck Roller Derby / Elite,691
Elevated RD / All Stars,690
Southern Delaware Roller Derby / All Stars,691
Roe City Rollers  / Roe City Rollers All-stars,676
NOVA Roller Derby / Super NOVAS,690
CAPITAL CITY CRUSHERS,720
